policy_id,policy_type,title,cpt_codes,covered_icd10,covered_conditions,non_covered_conditions,documentation_required,mac_region
NCD-20.7,NCD,Percutaneous Transluminal Coronary Angioplasty (PTCA),92928,I25.10|I25.110|I25.111|I21.9|I21.01|I21.11,Documented coronary artery disease with >70% stenosis or acute MI,Stenosis <50% without documented ischemia; prophylactic in asymptomatic patients,Cardiac catheterization report showing stenosis percentage; clinical notes documenting angina or positive stress test,National
NCD-20.9,NCD,Cardiac Catheterization,93458,I25.10|I20.0|I20.9|R07.9|I48.91|I50.9,Suspected or known CAD; unstable angina; chest pain with positive non-invasive test; heart failure evaluation,Routine screening without symptoms; repeat cath within 6 months without clinical change,Clinical indication; prior non-invasive testing results when applicable,National
LCD-L35056,LCD,MRI of the Brain,70553,G43.909|G40.909|R41.0|I63.9|C71.9|G20|R51,Headache with neurological deficit; seizure; stroke; suspected neoplasm; cognitive decline; Parkinson's evaluation,Routine headache without red flags; screening without symptoms; repeat MRI within 90 days without clinical change,Clinical indication documenting neurological symptoms or signs; prior imaging results if repeat study,Palmetto GBA (MAC J-M)
LCD-L35081,LCD,CT of the Abdomen and Pelvis,74177,R10.9|K35.80|K57.30|K80.20|C18.9|C61|R19.00|R63.4,Acute abdominal pain; suspected appendicitis; diverticulitis evaluation; cancer staging; unexplained weight loss,Routine abdominal screening; non-specific complaints without documented exam findings; repeat within 30 days without clinical change,Physical exam findings; reason prior imaging insufficient; clinical urgency,Palmetto GBA (MAC J-M)
LCD-L33789,LCD,Total Knee Arthroplasty,27447,M17.11|M17.12|M17.0|M17.9,"Primary osteoarthritis with documented failure of conservative treatment (6+ months PT, NSAIDs, injections)",Osteoarthritis without trial of conservative therapy; BMI >40 without documented risk assessment; active infection,Weight-bearing X-rays; 6-month conservative treatment log; surgical clearance; BMI documentation,Palmetto GBA (MAC J-M)
LCD-L33790,LCD,Total Hip Arthroplasty,27130,M16.11|M16.12|M16.0|S72.001A,Primary osteoarthritis with failed conservative treatment; acute hip fracture,Osteoarthritis without documented conservative failure; elective in patients with uncontrolled diabetes (A1c >8.0),Weight-bearing imaging; conservative treatment documentation; pre-operative medical clearance,Palmetto GBA (MAC J-M)
NCD-210.3,NCD,Screening Colonoscopy,G0121|45380,Z12.11|Z80.0|Z86.010|K63.5,"Average risk age 45+: every 10 years; high risk (family history, polyp history): every 5 years; Lynch syndrome: every 1-2 years",Repeat within screening interval without new indication; incomplete prior exam without documented need,Risk assessment; date of prior colonoscopy; family history documentation,National
LCD-L33631,LCD,Upper GI Endoscopy,43239,K21.0|K92.1|K25.9|R13.10|R11.10,GERD refractory to PPI therapy (8+ weeks); GI bleeding; suspected ulcer; dysphagia; persistent vomiting,Uncomplicated GERD without trial of PPI; routine surveillance without prior findings; patient request without indication,Medication trial documentation; symptom duration; prior imaging if applicable,Palmetto GBA (MAC J-M)
NCD-110.18,NCD,Chemotherapy Administration,96413|96415,C50.911|C34.90|C18.9|C61|Z51.11,Documented malignancy with treatment plan from oncologist; adjuvant or palliative intent documented,Without documented pathology confirming malignancy; regimen not consistent with NCCN guidelines; performance status incompatible with treatment,Pathology report; oncology treatment plan; ECOG performance status; informed consent,National
LCD-L35092,LCD,Radiation Therapy - IMRT,77386|77263,C50.911|C34.90|C61|C18.9|C71.9,IMRT appropriate when conventional radiation would result in unacceptable normal tissue toxicity; complex geometry required,Simple field arrangements where 3D conformal is sufficient; without documented dosimetric advantage,Comparative treatment plan (IMRT vs 3D); DVH showing normal tissue sparing; peer review for complex cases,Palmetto GBA (MAC J-M)
LCD-L34982,LCD,Epidural Steroid Injections,62322|64483,M54.5|M48.06|M51.16|M51.17|G89.29,Radiculopathy with correlating imaging; failed 6 weeks conservative treatment; max 3 injections per region per year,Non-specific back pain without radiculopathy; >3 per level per year; without correlating MRI/CT findings,MRI/CT showing pathology; 6-week conservative treatment log; pain assessment scores; prior injection dates,Palmetto GBA (MAC J-M)
LCD-L33632,LCD,Psychotherapy Services,90837|90834|90832,F32.9|F41.1|F10.20|F17.210|F43.10,Documented psychiatric diagnosis; treatment plan with goals; progress notes showing therapeutic intervention,Social visits; without documented diagnosis; concurrent same-day therapy by multiple providers without coordination,"DSM-5 diagnosis; treatment plan; session notes with intervention, response, and plan",Palmetto GBA (MAC J-M)
LCD-L33631PT,LCD,Outpatient Physical Therapy,97110|97140|97161,M54.5|M17.11|M16.11|S72.001A|M62.830|M79.3,Documented functional limitation; measurable goals; skilled intervention required; progress documented,Maintenance therapy without skilled need; plateau without documented reassessment; >8-minute rule violations,Functional outcome measures (baseline + progress); plan of care signed by physician; skilled intervention documentation,Palmetto GBA (MAC J-M)
NCD-210.10,NCD,Screening Mammography,77067,Z12.31|Z80.3|Z85.3,"Women age 40+: annual screening; high-risk (BRCA, family history): may begin earlier per physician recommendation",More frequent than annual without documented high-risk indication; men without documented indication,Age verification; risk assessment for early screening; prior mammogram date,National
LCD-L35901,LCD,Emergency Department Evaluation - High Complexity,99285,I21.9|I63.9|A41.9|J96.01|S72.001A|R07.9,Threat to life or function; acute MI; stroke; sepsis; respiratory failure; major trauma,Non-urgent conditions manageable in office setting; documentation not supporting high-complexity decision making,MDM documenting high-complexity; 3+ diagnoses or management options; data reviewed; high risk of morbidity,Palmetto GBA (MAC J-M)
