cpt_code,description,category,standard_charge,primary_department,billing_type
99213,"Office visit, established, low",E&M,95.0,DEPT02,Both
99214,"Office visit, established, moderate",E&M,150.0,DEPT02,Professional
99215,"Office visit, established, high",E&M,210.0,DEPT02,Professional
99203,"Office visit, new, low",E&M,130.0,DEPT02,Professional
99204,"Office visit, new, moderate",E&M,200.0,DEPT02,Professional
99232,"Subsequent hospital care, moderate",E&M,120.0,DEPT02,Professional
99233,"Subsequent hospital care, high",E&M,175.0,DEPT02,Facility
99223,"Initial hospital care, high",E&M,280.0,DEPT02,Both
99285,"ED visit, high complexity",E&M,450.0,DEPT01,Professional
99283,"ED visit, moderate complexity",E&M,250.0,DEPT01,Facility
99284,"ED visit, moderately high",E&M,350.0,DEPT01,Professional
99291,"Critical care, first 30-74 min",E&M,550.0,DEPT01,Professional
36415,Venipuncture,Lab,12.0,DEPT08,Professional
80053,Comprehensive metabolic panel,Lab,45.0,DEPT08,Facility
85025,Complete blood count,Lab,30.0,DEPT08,Professional
80061,Lipid panel,Lab,50.0,DEPT08,Both
81001,"Urinalysis, automated",Lab,15.0,DEPT08,Facility
71046,"Chest X-ray, 2 views",Radiology,85.0,DEPT07,Both
74177,CT abdomen/pelvis with contrast,Radiology,650.0,DEPT07,Facility
70553,MRI brain with/without contrast,Radiology,1200.0,DEPT07,Facility
77067,"Screening mammography, bilateral",Radiology,180.0,DEPT07,Both
72148,MRI lumbar spine without contrast,Radiology,900.0,DEPT07,Facility
93000,"Electrocardiogram, 12-lead",Cardiology,55.0,DEPT03,Both
93306,"Echocardiography, complete",Cardiology,450.0,DEPT03,Facility
93458,Left heart catheterization,Cardiology,2800.0,DEPT03,Professional
93010,ECG interpretation only,Cardiology,25.0,DEPT03,Professional
93880,Duplex scan of carotid arteries,Cardiology,350.0,DEPT03,Facility
27447,Total knee arthroplasty,Orthopedics,8500.0,DEPT04,Facility
27130,Total hip arthroplasty,Orthopedics,9200.0,DEPT04,Facility
29881,Knee arthroscopy/meniscectomy,Orthopedics,3500.0,DEPT04,Professional
23472,Shoulder arthroplasty,Orthopedics,8800.0,DEPT04,Both
27236,Open treatment femoral fracture,Orthopedics,7500.0,DEPT04,Both
47562,Laparoscopic cholecystectomy,Surgery,4200.0,DEPT05,Both
44970,Laparoscopic appendectomy,Surgery,3800.0,DEPT05,Facility
49505,Inguinal hernia repair,Surgery,3200.0,DEPT05,Both
43239,Upper GI endoscopy with biopsy,Surgery,1800.0,DEPT05,Professional
45380,Colonoscopy with biopsy,Surgery,2100.0,DEPT05,Facility
59400,"Routine obstetric care, vaginal",OB/GYN,5500.0,DEPT06,Professional
59510,"Routine obstetric care, cesarean",OB/GYN,7200.0,DEPT06,Professional
58661,Laparoscopic removal of adnexa,OB/GYN,4500.0,DEPT06,Facility
59025,Fetal non-stress test,OB/GYN,120.0,DEPT06,Professional
96413,"Chemotherapy infusion, first hour",Oncology,450.0,DEPT11,Both
96415,"Chemotherapy infusion, additional hour",Oncology,250.0,DEPT11,Professional
77385,"IMRT delivery, simple",Oncology,800.0,DEPT11,Facility
77386,"IMRT delivery, complex",Oncology,1200.0,DEPT11,Facility
90837,"Psychotherapy, 60 minutes",Behavioral,175.0,DEPT13,Both
90834,"Psychotherapy, 45 minutes",Behavioral,130.0,DEPT13,Professional
90847,Family psychotherapy with patient,Behavioral,150.0,DEPT13,Both
97110,Therapeutic exercises,Rehab,65.0,DEPT14,Both
97140,Manual therapy techniques,Rehab,70.0,DEPT14,Both
97530,Therapeutic activities,Rehab,60.0,DEPT14,Facility
95819,EEG with sleep,Neurology,350.0,DEPT09,Both
95907,"Nerve conduction study, 1-2",Neurology,250.0,DEPT09,Both
94010,Spirometry,Pulmonology,85.0,DEPT10,Both
94060,Bronchospasm evaluation,Pulmonology,120.0,DEPT10,Professional
31622,Diagnostic bronchoscopy,Pulmonology,1500.0,DEPT10,Professional
90471,"Immunization admin, first",Preventive,25.0,DEPT12,Professional
99381,"Preventive visit, infant",Preventive,180.0,DEPT12,Professional
99391,"Preventive visit, child",Preventive,160.0,DEPT12,Both
99395,"Preventive visit, 18-39",Preventive,190.0,DEPT12,Professional
99396,"Preventive visit, 40-64",Preventive,200.0,DEPT12,Professional
