mue_id,cpt_code,max_units_per_day,adjudication_type,mue_rationale,effective_date,source
MUE0001,99213,1,Practitioner,One E&M visit per provider per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0002,99214,1,Practitioner,One E&M visit per provider per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0003,99215,1,Practitioner,One E&M visit per provider per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0004,99203,1,Practitioner,One new patient visit per provider per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0005,99204,1,Practitioner,One new patient visit per provider per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0006,99232,2,Practitioner,Max 2 subsequent hospital visits per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0007,99233,2,Practitioner,Max 2 subsequent hospital visits per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0008,99223,1,Practitioner,One initial hospital visit per admission,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0009,99285,1,Practitioner,One high-complexity ED visit per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0010,99283,1,Practitioner,One ED visit per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0011,99284,1,Practitioner,One ED visit per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0012,99291,1,Practitioner,One critical care first period per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0013,36415,3,Practitioner,Max 3 venipunctures per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0014,80053,1,Practitioner,One CMP per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0015,85025,2,Practitioner,Max 2 CBCs per day (pre/post procedure),2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0016,80061,1,Practitioner,One lipid panel per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0017,81001,2,Practitioner,Max 2 urinalyses per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0018,71046,2,Practitioner,Max 2 chest X-rays per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0019,74177,1,Practitioner,One CT abd/pelvis per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0020,70553,1,Practitioner,One brain MRI per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0021,73721,2,Practitioner,Max 2 (bilateral),2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0022,77067,1,Practitioner,One screening mammo per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0023,93000,3,Practitioner,"Max 3 ECGs per day (pre, intra, post)",2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0024,93306,1,Practitioner,One echo per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0025,93458,1,Practitioner,One left heart cath per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0026,92928,3,Practitioner,Max 3 stents per session (multi-vessel),2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0027,33533,1,Practitioner,One CABG per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0028,43239,1,Practitioner,One EGD per session,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0029,45380,1,Practitioner,One colonoscopy per session,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0030,27447,1,Practitioner,One TKR per encounter (unilateral),2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0031,27130,1,Practitioner,One THR per encounter (unilateral),2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0032,47562,1,Practitioner,One cholecystectomy per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0033,44970,1,Practitioner,One appendectomy per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0034,35301,1,Practitioner,One CEA per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0035,90837,1,Practitioner,One 60-min therapy session per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0036,90834,1,Practitioner,One 45-min therapy session per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0037,96372,4,Practitioner,Max 4 injections per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0038,96413,1,Practitioner,One first-hour chemo per day per agent,2024-01-01,CMS MUE Values (synthetic equivalent)
